Department,Municipality,Total 2005,Households 2005
Boyacá,Samacá,17352,3995
Boyacá,San Eduardo,1867,586
Boyacá,San José de Pare,5586,1488
Boyacá,San Luis de Gaceno,6158,1687
Boyacá,San Mateo,4551,1371
Boyacá,San Miguel de Sema,4028,1070
Boyacá,San Pablo de Borbur,9867,2507
Boyacá,Santana,7680,1832
Boyacá,Santa María,4498,1223
Boyacá,Santa Rosa de Viterbo,11821,2862
Boyacá,Santa Sofía,3012,911
Boyacá,Sativanorte,2661,851
Boyacá,Sativasur,1294,355
Boyacá,Siachoque,7630,1748
Boyacá,Soatá,8730,2486
Boyacá,Socotá,9812,2531
Boyacá,Socha,7364,1964
Boyacá,Sogamoso,114486,31919
Boyacá,Somondoco,3246,1053
Boyacá,Sora,2916,644
Boyacá,Sotaquirá,8303,2151
Boyacá,Soracá,5805,1309
Boyacá,Susacón,3550,885
Boyacá,Sutamarchán,5624,1613
Boyacá,Sutatenza,4444,1375
Boyacá,Tasco,6707,1771
Boyacá,Tenza,4513,1458
Boyacá,Tibaná,9464,2735
Boyacá,Tibasosa,12463,3242
Boyacá,Tinjacá,2889,848
Boyacá,Tipacoque,3730,1001
Boyacá,Toca,8749,2283
Boyacá,Togüí,5099,1289
Boyacá,Tópaga,3608,969
Boyacá,Tota,5531,1407
Boyacá,Tununguá,1610,438
Boyacá,Turmequé,7347,2109
Boyacá,Tuta,8823,2243
Boyacá,Tutazá,2185,556
Boyacá,Umbita,9888,2278
Boyacá,Ventaquemada,14166,3292
Boyacá,Viracachá,3380,945
Boyacá,Zetaquira,5016,1396
Caldas,Manizales,368433,102773
Caldas,Aguadas,22307,6169
Caldas,Anserma,33674,8893
Caldas,Aranzazu,12181,3328
Caldas,Belalcázar,11327,3064
Caldas,Chinchiná,51301,13521
Caldas,Filadelfia,12235,3254
Caldas,La Dorada,70486,19135
Caldas,La Merced,6324,1822
Caldas,Manzanares,18143,5005
Caldas,Marmato,8175,2023
Caldas,Marquetalia,13880,3863
Caldas,Marulanda,2702,716
Caldas,Neira,27250,6794
Caldas,Norcasia,6523,1690
Caldas,Pácora,14448,4047
Caldas,Palestina,17310,4556
Caldas,Pensilvania,23575,6266
Caldas,Riosucio,35843,9633
Caldas,Risaralda,10175,2669
Caldas,Salamina,18281,5029
Caldas,Samaná,18295,4924
Caldas,San José,5951,1496
Caldas,Supía,24072,6578
Caldas,Victoria,8756,2521
Caldas,Villamaría,45038,11913
Caldas,Viterbo,11805,3003
Caquetá,Florencia,137896,33725
Caquetá,Albania,6036,1523
Caquetá,Belén de Los Andaquies,10809,2392
Caquetá,Cartagena del Chairá,20219,5007
Caquetá,Curillo,7334,1822
Caquetá,El Doncello,18732,4595
Caquetá,El Paujil,14852,3483
