Department,Municipality,Total 2018,Housing units 2018,Households 2018,People 2018
Boyacá,Boyacá,5089,2963,1527,4472
Boyacá,Briceño,2198,1038,706,2054
Boyacá,Buenavista,4409,2272,1538,4240
Boyacá,Busbanzá,1118,456,321,903
Boyacá,Caldas,3143,1637,1029,3086
Boyacá,Campohermoso,3121,1379,1006,2705
Boyacá,Cerinza,3713,2415,1219,3636
Boyacá,Chinavita,3209,1961,1129,2842
Boyacá,Chiquinquirá,56054,20728,16310,52321
Boyacá,Chiscas,3994,2124,1299,3587
Boyacá,Chita,8045,4599,2654,7778
Boyacá,Chitaraque,5830,2352,1734,5013
Boyacá,Chivatá,2788,1091,836,2783
Boyacá,Ciénega,4635,2005,1511,4492
Boyacá,Cómbita,12970,4285,2913,12636
Boyacá,Coper,3619,1516,1188,3019
Boyacá,Corrales,2498,961,798,2479
Boyacá,Covarachía,2806,1543,899,2628
Boyacá,Cubará,10319,3224,2831,10164
Boyacá,Cucaita,3725,1436,1018,3375
Boyacá,Cuítiva,1798,1041,598,1628
Boyacá,Chíquiza,4684,1959,1346,4347
Boyacá,Chivor,2479,816,595,1669
Boyacá,Duitama,122436,47214,38704,117606
Boyacá,El Cocuy,4215,1973,1327,3999
Boyacá,El Espino,3061,1418,971,2715
Boyacá,Firavitoba,6662,3390,2172,6523
Boyacá,Floresta,3266,1997,1111,3186
Boyacá,Gachantivá,2789,1840,978,2744
Boyacá,Gameza,4850,2475,1450,4395
Boyacá,Garagoa,17932,7330,5189,14145
Boyacá,Guacamayas,1865,1063,675,1790
Boyacá,Guateque,10699,4407,3035,8123
Boyacá,Guayatá,3400,1839,1292,3112
Boyacá,Güicán,4279,1864,1420,3921
Boyacá,Iza,1947,928,709,1944
Boyacá,Jenesano,7200,4162,2159,6333
Boyacá,Jericó,3929,2042,1261,3540
Boyacá,Labranzagrande,3526,1556,1109,3075
Boyacá,La Capilla,2689,1226,902,2300
Boyacá,La Victoria,1118,513,386,956
Boyacá,La Uvita,2999,1813,1115,2872
Boyacá,Villa de Leyva,16139,7457,4844,14406
Boyacá,Macanal,4976,2142,1373,3568
Boyacá,Maripí,5741,2682,1784,5354
Boyacá,Miraflores,8847,3972,3160,8274
Boyacá,Mongua,4636,2305,1421,4300
Boyacá,Monguí,4234,3007,1355,3895
Boyacá,Moniquirá,22572,11667,7328,20848
Boyacá,Motavita,5569,1849,1423,5253
Boyacá,Muzo,8597,2473,2805,8323
Boyacá,Nobsa,15976,5412,4651,14651
Boyacá,Nuevo Colón,5121,2550,1646,5025
Boyacá,Oicatá,2821,1218,934,2797
Boyacá,Otanche,8018,2736,2407,6997
Boyacá,Pachavita,2467,1517,910,2275
Boyacá,Páez,3283,1609,1092,2930
Boyacá,Paipa,33535,14324,10174,31141
Boyacá,Pajarito,2390,889,699,1941
Boyacá,Panqueba,1717,980,549,1644
Boyacá,Pauna,7185,3488,2433,6355
Boyacá,Paya,2593,731,629,2061
Boyacá,Paz de Río,4285,2903,1434,4047
Boyacá,Pesca,6852,3582,2159,6604
Boyacá,Pisba,1763,799,544,1582
Boyacá,Puerto Boyacá,46736,19647,14930,44784
Boyacá,Quípama,4889,2053,1690,4194
Boyacá,Ramiriquí,9887,4715,2729,8889
Boyacá,Ráquira,7877,4856,2499,7312
Boyacá,Rondón,2407,1630,885,2230
Boyacá,Saboyá,13588,6009,3405,11161
Boyacá,Sáchica,5452,2000,1523,4823
Boyacá,Samacá,18298,6624,5019,17542
Boyacá,San Eduardo,1701,704,654,1572
Boyacá,San José de Pare,4988,2118,1672,4658
Boyacá,San Luis de Gaceno,5499,2171,1762,4551
Boyacá,San Mateo,3332,1943,1197,3307
Boyacá,San Miguel de Sema,3009,1362,993,2901
Boyacá,San Pablo de Borbur,6608,2365,2045,5839
Boyacá,Santana,7565,2780,2404,6826
Boyacá,Santa María,3559,1454,1169,3109
Boyacá,Santa Rosa de Viterbo,13066,5152,4052,11329
Boyacá,Santa Sofía,3179,2064,1032,2959
Boyacá,Sativanorte,2221,1766,798,2026
