Location,Department-2018,Municipality-2018,Total 2018,Housing units 2018,Households 2018,People 2018,Total 2005,Households 2005,var_pop,var_households,household/housing ratio,location,point,latitude,longitude,altitude
"Nimaima, Cundinamarca",Cundinamarca,Nimaima,3589,1662,1324,3086,5486,1698.0,-0.03211349418887388,-0.018956003273051802,0.7966305655836342,"Nimaima, Gualivá, Cundinamarca, Región Andina, Colombia","(5.1341412, -74.38503121618565, 0.0)",5.1341412,-74.38503121618565,0.0
"Nocaima, Cundinamarca",Cundinamarca,Nocaima,6092,2802,2015,5211,5303,1608.0,0.010726640505909213,0.017507492450817175,0.719129193433262,"Nocaima, Gualivá, Cundinamarca, Región Andina, Colombia","(5.0637763, -74.37985776761795, 0.0)",5.0637763,-74.37985776761795,0.0
"Venecia, Cundinamarca",Cundinamarca,Venecia,4218,1932,1521,4130,3777,1161.0,0.008530877559593142,0.020993190831435582,0.7872670807453416,"Venecia, Sumapaz, Cundinamarca, Región Andina, Colombia","(4.0637593, -74.4515371821169, 0.0)",4.0637593,-74.4515371821169,0.0
"Pacho, Cundinamarca",Cundinamarca,Pacho,24413,11430,8859,23726,24766,6974.0,-0.001103695670873317,0.01857384441847021,0.7750656167979003,"Pacho, Provincia de Rionegro, Cundinamarca, Región Andina, Colombia","(5.1663706000000005, -74.16048508299113, 0.0)",5.1663706000000005,-74.16048508299113,0.0
"Paime, Cundinamarca",Cundinamarca,Paime,4186,1642,1420,3865,5281,1464.0,-0.017715800681021743,-0.0023445966622552827,0.8647990255785627,"Paime, Provincia de Rionegro, Cundinamarca, Región Andina, Colombia","(5.38519855, -74.17475977100652, 0.0)",5.38519855,-74.17475977100652,0.0
"Pandi, Cundinamarca",Cundinamarca,Pandi,4973,2457,1737,4735,5350,1440.0,-0.00560525324543637,0.014528869177465209,0.706959706959707,"Pandi, Sumapaz, Cundinamarca, Región Andina, Colombia","(4.166116199999999, -74.45876354109812, 0.0)",4.166116199999999,-74.45876354109812,0.0
"Paratebueno, Cundinamarca",Cundinamarca,Paratebueno,8328,3298,2637,8043,7256,1867.0,0.010655960657020014,0.02691815456159552,0.7995755003032141,"Paratebueno, Medina, Cundinamarca, Región Andina, Colombia","(4.47890955, -73.1560359124927, 0.0)",4.47890955,-73.1560359124927,0.0
"Pasca, Cundinamarca",Cundinamarca,Pasca,9105,3469,2870,8686,10876,2799.0,-0.01357887266964608,0.0019287668546525971,0.8273277601614298,"Pasca, Sumapaz, Cundinamarca, Región Andina, Colombia","(4.29722035, -74.27788845286062, 0.0)",4.29722035,-74.27788845286062,0.0
"Puerto Salgar, Cundinamarca",Cundinamarca,Puerto Salgar,15453,5867,4981,15019,15237,4176.0,0.0010833925049258397,0.013652106085713323,0.8489858530765297,"Puerto Salgar, Bajo Magdalena, Cundinamarca, Región Andina, Colombia","(5.58999395, -74.58981838519897, 0.0)",5.58999395,-74.58981838519897,0.0
"Pulí, Cundinamarca",Cundinamarca,Pulí,3327,1434,984,2525,2837,876.0,0.012331088686637681,0.008983170663529272,0.6861924686192469,"Pulí, Magdalena Centro, Cundinamarca, Región Andina, Colombia","(4.6894937500000005, -74.6722855660022, 0.0)",4.6894937500000005,-74.6722855660022,0.0
"Quebradanegra, Cundinamarca",Cundinamarca,Quebradanegra,4724,2274,1656,4453,4531,1286.0,0.003213863624911939,0.019641829115841336,0.7282321899736148,"Quebradanegra, Gualivá, Cundinamarca, Región Andina, Colombia","(5.1067732, -74.49578556878446, 0.0)",5.1067732,-74.49578556878446,0.0
"Quetame, Cundinamarca",Cundinamarca,Quetame,5072,2327,1656,4929,6433,1477.0,-0.018118902209117604,0.00883821707274035,0.7116458960034379,"Quetame, Oriente, Cundinamarca, Región Andina, Colombia","(4.33002875, -73.84979608261497, 0.0)",4.33002875,-73.84979608261497,0.0
"Quipile, Cundinamarca",Cundinamarca,Quipile,6291,3272,2430,6114,7890,2528.0,-0.017270365651945285,-0.003036704390755429,0.7426650366748166,"Quipile, Tequendama, Cundinamarca, Región Andina, Colombia","(4.71127365, -74.5493679018266, 0.0)",4.71127365,-74.5493679018266,0.0
"Apulo, Cundinamarca",Cundinamarca,Apulo,8192,4170,2873,7533,7630,2319.0,0.005481911217970481,0.0166150366672273,0.688968824940048,"Apulo, Tequendama, Cundinamarca, Región Andina, Colombia","(4.538128349999999, -74.58595768690815, 0.0)",4.538128349999999,-74.58595768690815,0.0
"Ricaurte, Cundinamarca",Cundinamarca,Ricaurte,12881,16169,4657,10788,7990,2216.0,0.037418674922484296,0.05879162796260795,0.2880202857319562,"Ricaurte, Alto Magdalena, Cundinamarca, Región Andina, Colombia","(4.2777357, -74.7718165, 0.0)",4.2777357,-74.7718165,0.0
"San Antonio del Tequendama, Cundinamarca",Cundinamarca,San Antonio del Tequendama,11870,5658,3962,10214,10202,2936.0,0.01171660245499595,0.023321705925618996,0.7002474372569812,"San Antonio del Tequendama, Tequendama, Cundinamarca, Región Andina, Colombia","(4.60088365, -74.3462466497255, 0.0)",4.60088365,-74.3462466497255,0.0
"San Bernardo, Cundinamarca",Cundinamarca,San Bernardo,8487,3343,2671,7417,9910,2515.0,-0.011852945116662794,0.00463997230196056,0.7989829494466049,"San Bernardo, Sumapaz, Cundinamarca, Región Andina, Colombia","(4.12988, -74.38338595558722, 0.0)",4.12988,-74.38338595558722,0.0
"San Cayetano, Cundinamarca",Cundinamarca,San Cayetano,4846,1810,1474,4043,5139,1427.0,-0.0045055797161648314,0.0024958367565324213,0.8143646408839779,"San Cayetano, Provincia de Rionegro, Cundinamarca, Región Andina, Colombia","(5.333050699999999, -74.0667830206625, 0.0)",5.333050699999999,-74.0667830206625,0.0
"San Francisco, Cundinamarca",Cundinamarca,San Francisco,10755,5452,3513,9644,8187,2500.0,0.02120816565137207,0.026513044071880598,0.6443506969919296,"San Francisco, Gualivá, Cundinamarca, Región Andina, 253601, Colombia","(4.953252, -74.26457303919443, 0.0)",4.953252,-74.26457303919443,0.0
"San Juan de Río Seco, Cundinamarca",Cundinamarca,San Juan de Río Seco,8181,3764,2806,7547,9462,2789.0,-0.011127578020380446,0.00046756104452216896,0.7454835281615303,"San Juan de Río Seco, San Juan de Rioseco, Magdalena Centro, Cundinamarca, Región Andina, Colombia","(4.8455155, -74.6225366, 0.0)",4.8455155,-74.6225366,0.0
"Sasaima, Cundinamarca",Cundinamarca,Sasaima,10711,4799,3688,9807,9948,2901.0,0.005700782183747144,0.018635262933476282,0.7684934361325276,"Sasaima, Gualivá, Cundinamarca, Región Andina, Colombia","(4.94787605, -74.42674682897571, 0.0)",4.94787605,-74.42674682897571,0.0
"Sesquilé, Cundinamarca",Cundinamarca,Sesquilé,11423,4424,3442,11067,9691,2512.0,0.012728888798968718,0.02452462739444572,0.7780289330922242,"Sesquilé, Almeidas, Cundinamarca, Región Andina, Colombia","(5.0150158000000005, -73.79207083711154, 0.0)",5.0150158000000005,-73.79207083711154,0.0
"Sibaté, Cundinamarca",Cundinamarca,Sibaté,33491,11729,10819,32803,31166,7587.0,0.005549881462394879,0.027673497374899103,0.9224145280927615,"Sibaté, Soacha, Cundinamarca, Región Andina, 250070, Colombia","(4.4658906, -74.26570565568576, 0.0)",4.4658906,-74.26570565568576,0.0
"Silvania, Cundinamarca",Cundinamarca,Silvania,21625,10444,7434,20581,20872,5796.0,0.002729989266611499,0.019330306898952765,0.7117962466487936,"Silvania, Sumapaz, Cundinamarca, Región Andina, Colombia","(4.431967650000001, -74.36869205199069, 0.0)",4.431967650000001,-74.36869205199069,0.0
"Simijaca, Cundinamarca",Cundinamarca,Simijaca,12847,4506,3914,11526,10848,2783.0,0.013094966296102184,0.026580223259318192,0.8686196182867288,"Simijaca, Ubaté, Cundinamarca, Región Andina, Colombia","(5.5152751, -73.83768645586613, 0.0)",5.5152751,-73.83768645586613,0.0
"Soacha, Cundinamarca",Cundinamarca,Soacha,660179,234654,210423,645205,398295,105100.0,0.039635967935742755,0.05485211093340214,0.8967373238896418,"Soacha, Cundinamarca, Región Andina, Colombia","(4.5821279, -74.2197205, 0.0)",4.5821279,-74.2197205,0.0
"Sopó, Cundinamarca",Cundinamarca,Sopó,25782,8652,7834,24838,21014,5647.0,0.01585418732318966,0.025500388401024976,0.9054553860379103,"Sopó, Sabana Centro, Cundinamarca, Región Andina, 251001, Colombia","(4.8930466500000005, -73.95373244563945, 0.0)",4.8930466500000005,-73.95373244563945,0.0
"Subachoque, Cundinamarca",Cundinamarca,Subachoque,15690,6202,4839,14874,12972,3522.0,0.014740694060839443,0.02473787905335345,0.7802321831667204,"Subachoque., Sabana Occidente, Cundinamarca, Región Andina, Colombia","(4.9659026, -74.16685812388023, 0.0)",4.9659026,-74.16685812388023,0.0
"Suesca, Cundinamarca",Cundinamarca,Suesca,17021,7437,5735,15401,13985,3444.0,0.015227275099542803,0.0400067914640303,0.7711442786069652,"Suesca, Almeidas, Cundinamarca, Región Andina, 251048, Colombia","(5.13310375, -73.80332664333181, 0.0)",5.13310375,-73.80332664333181,0.0
"Supatá, Cundinamarca",Cundinamarca,Supatá,5203,2585,1832,4726,4764,1441.0,0.006803634956337401,0.018638565564306875,0.7087040618955512,"Supatá, Gualivá, Cundinamarca, Región Andina, Colombia","(5.05723485, -74.23227056147363, 0.0)",5.05723485,-74.23227056147363,0.0
"Susa, Cundinamarca",Cundinamarca,Susa,6454,2970,1958,6073,9788,2522.0,-0.0315274679239721,-0.01928309393242056,0.6592592592592592,"Susa, Ubaté, Cundinamarca, Región Andina, Colombia","(5.43879415, -73.83960697500001, 0.0)",5.43879415,-73.83960697500001,0.0
"Sutatausa, Cundinamarca",Cundinamarca,Sutatausa,5887,2496,1648,5258,4653,1271.0,0.01825965611684821,0.020182383235935575,0.6602564102564102,"Sutatausa, Ubaté, Cundinamarca, Región Andina, Colombia","(5.23773375, -73.8549403620673, 0.0)",5.23773375,-73.8549403620673,0.0
"Tabio, Cundinamarca",Cundinamarca,Tabio,21665,7748,6528,20602,20714,5323.0,0.003458910968262119,0.01582104536441009,0.8425400103252452,"Tabio, Sabana Centro, Cundinamarca, Región Andina, Colombia","(4.95238945, -74.07900673977333, 0.0)",4.95238945,-74.07900673977333,0.0
"Tausa, Cundinamarca",Cundinamarca,Tausa,8067,2861,2073,6735,7575,1963.0,0.004852374404313853,0.004202878050534542,0.7245718280321566,"Tausa, Ubaté, Cundinamarca, Región Andina, Colombia","(5.1949264500000005, -73.95630757362419, 0.0)",5.1949264500000005,-73.95630757362419,0.0
"Tena, Cundinamarca",Cundinamarca,Tena,9567,4525,3076,8072,7469,2226.0,0.019225439506848963,0.025190812450251343,0.6797790055248619,"Tena, Tequendama, Cundinamarca, Región Andina, Colombia","(4.646580200000001, -74.40078036307561, 0.0)",4.646580200000001,-74.40078036307561,0.0
"Tenjo, Cundinamarca",Cundinamarca,Tenjo,21935,6899,7147,20386,16607,4391.0,0.021635277779123774,0.03818290332794283,1.0359472387302509,"Tenjo, Sabana Centro, Cundinamarca, Región Andina, Colombia","(4.827453650000001, -74.15319909517594, 0.0)",4.827453650000001,-74.15319909517594,0.0
"Tibacuy, Cundinamarca",Cundinamarca,Tibacuy,4335,2199,1755,3944,4698,1226.0,-0.006166697847964975,0.027977451302567236,0.7980900409276944,"Tibacuy, Sumapaz, Cundinamarca, Región Andina, Colombia","(4.3242531500000005, -74.47943797921837, 0.0)",4.3242531500000005,-74.47943797921837,0.0
"Tibirita, Cundinamarca",Cundinamarca,Tibirita,3158,1943,1007,2439,2888,1001.0,0.0068986634255814305,0.00045980670973810867,0.5182707153885744,"Tibirita, Almeidas, Cundinamarca, Región Andina, Colombia","(5.0835428, -73.51651052773028, 0.0)",5.0835428,-73.51651052773028,0.0
"Tocaima, Cundinamarca",Cundinamarca,Tocaima,15735,8894,6200,13649,16149,4629.0,-0.0019957441359861328,0.022732095599888646,0.6970991679784124,"Tocaima, Alto Magdalena, Cundinamarca, Región Andina, Colombia","(4.488417200000001, -74.65461467780653, 0.0)",4.488417200000001,-74.65461467780653,0.0
"Tocancipá, Cundinamarca",Cundinamarca,Tocancipá,39996,12542,12964,39416,23981,6004.0,0.04013187459816425,0.06099968955912427,1.0336469462605644,"Tocancipá, Sabana Centro, Cundinamarca, Región Andina, 271015, Colombia","(4.97370995, -73.92117979871541, 0.0)",4.97370995,-73.92117979871541,0.0
"Topaipí, Cundinamarca",Cundinamarca,Topaipí,4139,1833,1465,3537,4599,1360.0,-0.00807374434935526,0.00573720606716055,0.7992362247681397,"Topaipí, Provincia de Rionegro, Cundinamarca, Región Andina, Colombia","(5.35363465, -74.28450723580136, 0.0)",5.35363465,-74.28450723580136,0.0
"Ubalá, Cundinamarca",Cundinamarca,Ubalá,7717,3888,2439,7583,11525,2986.0,-0.030382194529865902,-0.015444611088752058,0.6273148148148148,"Ubalá, Guavio, Cundinamarca, Región Andina, Colombia","(4.804256349999999, -73.45766847679252, 0.0)",4.804256349999999,-73.45766847679252,0.0
"Ubaque, Cundinamarca",Cundinamarca,Ubaque,6727,3394,2287,6390,6692,1855.0,0.00040134943597913697,0.016234698090517474,0.673836181496759,"Ubaque, Oriente, Cundinamarca, Región Andina, Colombia","(4.50076065, -73.97005088763785, 0.0)",4.50076065,-73.97005088763785,0.0
"Une, Cundinamarca",Cundinamarca,Une,6945,2751,2304,6902,7856,2049.0,-0.009436394743648213,0.009063509680934612,0.8375136314067612,"Une, Oriente, Cundinamarca, Región Andina, Colombia","(4.3052574, -74.06531146313414, 0.0)",4.3052574,-74.06531146313414,0.0
"Útica, Cundinamarca",Cundinamarca,Útica,4246,2005,1648,4032,4209,1268.0,0.0006734784919923964,0.02036784854715168,0.8219451371571073,"Útica, Gualivá, Cundinamarca, Región Andina, Colombia","(5.1902839499999995, -74.47557419247498, 0.0)",5.1902839499999995,-74.47557419247498,0.0
"Vergara, Cundinamarca",Cundinamarca,Vergara,6847,2881,2289,6063,7339,2277.0,-0.0053236246643090235,0.00040440897348648086,0.7945157931273863,"Vergara, Gualivá, Cundinamarca, Región Andina, Colombia","(5.12520155, -74.29801207488092, 0.0)",5.12520155,-74.29801207488092,0.0
"Vianí, Cundinamarca",Cundinamarca,Vianí,4339,1767,1460,3806,3992,1152.0,0.00643225624342314,0.01839301897439949,0.8262591963780419,"Vianí, Magdalena Centro, Cundinamarca, Región Andina, Colombia","(4.87943995, -74.5644987170771, 0.0)",4.87943995,-74.5644987170771,0.0
"Villagómez, Cundinamarca",Cundinamarca,Villagómez,1758,927,628,1712,2104,578.0,-0.013725207406119377,0.006402431408306208,0.6774541531823085,"Villagómez, Provincia de Rionegro, Cundinamarca, Región Andina, Colombia","(5.2731679, -74.1951778, 0.0)",5.2731679,-74.1951778,0.0
"Villapinzón, Cundinamarca",Cundinamarca,Villapinzón,17187,6032,4665,15834,16217,3871.0,0.004478707979038488,0.014455403483393914,0.7733753315649867,"Villapinzón, Almeidas, Cundinamarca, Región Andina, Colombia","(5.24487135, -73.59165852342662, 0.0)",5.24487135,-73.59165852342662,0.0
"Villeta, Cundinamarca",Cundinamarca,Villeta,26873,12583,9397,25957,23620,6696.0,0.009974668990405666,0.026410438546053072,0.7468012397679409,"Villeta, Gualivá, Cundinamarca, Región Andina, Colombia","(5.007727, -74.48409202522276, 0.0)",5.007727,-74.48409202522276,0.0
"Viotá, Cundinamarca",Cundinamarca,Viotá,13234,6218,4716,12589,13073,3876.0,0.0009420004047255848,0.015203436240099899,0.7584432293341911,"Viotá, Tequendama, Cundinamarca, Región Andina, Colombia","(4.43815535, -74.49870705466337, 0.0)",4.43815535,-74.49870705466337,0.0
"Yacopí, Cundinamarca",Cundinamarca,Yacopí,12322,5250,3983,10887,15840,4438.0,-0.019133969143780072,-0.008286134567010661,0.7586666666666667,"Yacopí, Provincia de Rionegro, Cundinamarca, Región Andina, Colombia","(5.61193375, -74.41366160554472, 0.0)",5.61193375,-74.41366160554472,0.0
"Zipacón, Cundinamarca",Cundinamarca,Zipacón,4659,1826,1560,4211,4916,1374.0,-0.004121817194366217,0.009813969413993151,0.8543263964950711,"Zipacón, Sabana Occidente, Cundinamarca, Región Andina, Colombia","(4.75282155, -74.37905448957514, 0.0)",4.75282155,-74.37905448957514,0.0
"Zipaquirá, Cundinamarca",Cundinamarca,Zipaquirá,130537,46309,40730,129652,100038,26730.0,0.02068068022562697,0.0329288779925474,0.8795266578850763,"Zipaquirá, Sabana Centro, Cundinamarca, Región Andina, Colombia","(5.0234748, -74.0039818, 0.0)",5.0234748,-74.0039818,0.0
"Quibdó, Chocó",Chocó,Quibdó,129237,43775,36380,120679,109121,25126.0,0.01309971849662439,0.028879619379663657,0.8310679611650486,"Quibdó, Atrato, Chocó, Pacífica, Colombia","(5.6923407, -76.6583801, 0.0)",5.6923407,-76.6583801,0.0
"Acandí, Chocó",Chocó,Acandí,13999,5098,3921,12095,9091,2487.0,0.03376530038679415,0.0356411828748584,0.7691251471165163,"Acandí, Darién, Chocó, Pacífica, 278017, Colombia","(8.47269765, -77.32973759862193, 0.0)",8.47269765,-77.32973759862193,0.0
"Alto Baudo, Chocó",Chocó,Alto Baudo,27584,5382,5349,23954,28502,5067.0,-0.0025151674809813507,0.004174898482001366,0.9938684503901896,"Pie de Pató, Alto Baudó (Pie de Pató), Pacífico Sur, Chocó, Pacífica, Colombia","(5.5160157, -76.9742895, 0.0)",5.5160157,-76.9742895,0.0
"Bagadó, Chocó",Chocó,Bagadó,11011,3195,2933,10583,8174,1748.0,0.023182823081062676,0.04061492106218356,0.9179968701095461,"Bagadó, Atrato, Chocó, Pacífica, Colombia","(5.5116714, -76.19738946084627, 0.0)",5.5116714,-76.19738946084627,0.0
"Bahía Solano, Chocó",Chocó,Bahía Solano,10123,2918,2591,9417,8785,2125.0,0.010964624988477611,0.01536860066975021,0.8879369431117203,"Bahía Solano, Bahía Solano (Mutis), Pacífico Norte, Chocó, Pacífica, Colombia","(6.2245644, -77.4034389, 0.0)",6.2245644,-77.4034389,0.0
"Bajo Baudó, Chocó",Chocó,Bajo Baudó,29957,4576,4492,18561,15919,2991.0,0.04983665867747811,0.03177834905176291,0.9816433566433567,"Pizarro, Bajo Baudó (Pizarro), Pacífico Sur, Chocó, Pacífica, Colombia","(4.9537522, -77.366788, 0.0)",4.9537522,-77.366788,0.0
"Bojaya, Chocó",Chocó,Bojaya,12073,3112,3033,11933,8796,1930.0,0.02465869383176522,0.035383313825261276,0.9746143958868895,"Bojayá (Bellavista), Atrato, Chocó, Pacífica, Colombia","(6.4417196, -77.05457212780672, 0.0)",6.4417196,-77.05457212780672,0.0
"El Cantón del San Pablo, Chocó",Chocó,El Cantón del San Pablo,6116,2443,1774,5663,4413,1060.0,0.02542188171752091,0.04040797638224314,0.7261563651248465,"El Cantón del San Pablo, San Juan, Chocó, Pacífica, 272040, Colombia","(5.37765845, -76.76209139303418, 0.0)",5.37765845,-76.76209139303418,0.0
"Carmen del Darien, Chocó",Chocó,Carmen del Darien,18433,4018,3825,13189,4191,953.0,0.12068343070963672,0.11282286754343396,0.9519661523145844,"Carmen del Darién (Curbaradó), Darién, Chocó, Pacífica, Colombia","(7.04047905, -76.92059500224477, 0.0)",7.04047905,-76.92059500224477,0.0
"Cértegui, Chocó",Chocó,Cértegui,5635,2280,1646,4683,6797,1598.0,-0.014318363938040646,0.0022791513959632415,0.7219298245614035,"Cértegui, San Juan, Chocó, Pacífica, Colombia","(5.38214415, -76.52049986737265, 0.0)",5.38214415,-76.52049986737265,0.0
"Condoto, Chocó",Chocó,Condoto,12663,4869,3853,12251,12404,2992.0,0.0015909067847090785,0.019645090044189573,0.7913329225713699,"Condoto, San Juan, Chocó, Pacífica, Colombia","(5.09567995, -76.51148371740939, 0.0)",5.09567995,-76.51148371740939,0.0
"El Carmen de Atrato, Chocó",Chocó,El Carmen de Atrato,8193,2624,2433,7900,7076,2075.0,0.01133851880310388,0.012318634669755246,0.9272103658536586,"El Carmen de Atrato, Atrato, Chocó, Pacífica, Colombia","(5.838906550000001, -76.2079696572246, 0.0)",5.838906550000001,-76.2079696572246,0.0
"Istmina, Chocó",Chocó,Istmina,30742,11340,8272,28087,23359,5602.0,0.02135147608624499,0.03043492704181583,0.7294532627865962,"Istmina, San Juan, Chocó, Pacífica, 274010, Colombia","(4.829314800000001, -76.90129562571556, 0.0)",4.829314800000001,-76.90129562571556,0.0
"Juradó, Chocó",Chocó,Juradó,6685,1102,1039,4108,2792,591.0,0.06946888471823454,0.04435539075128481,0.9428312159709619,"Juradó, Pacífico Norte, Chocó, Pacífica, Colombia","(7.1059749, -77.7641078, 0.0)",7.1059749,-77.7641078,0.0
"Lloró, Chocó",Chocó,Lloró,9786,2875,2444,8928,8072,1772.0,0.014921890744663324,0.025041255144670815,0.8500869565217392,"Lloró, Atrato, Chocó, Pacífica, Colombia","(5.5844842, -76.37256485604007, 0.0)",5.5844842,-76.37256485604007,0.0
"Medio Baudó, Chocó",Chocó,Medio Baudó,15109,4007,3739,13423,9358,1985.0,0.037538096878885874,0.04991335011675169,0.9331170451709508,"Medio Baudó, Pacífico Sur, Chocó, Pacífica, Colombia","(5.1494647, -76.98687197064427, 0.0)",5.1494647,-76.98687197064427,0.0
"Medio San Juan, Chocó",Chocó,Medio San Juan,10579,3410,2822,9073,10247,2717.0,0.0024557738839827703,0.002920990340381513,0.827565982404692,"Medio San Juan, San Juan, Chocó, Pacífica, Colombia","(4.81262305, -76.83608432189774, 0.0)",4.81262305,-76.83608432189774,0.0
"Nóvita, Chocó",Chocó,Nóvita,9153,3124,2707,8164,5708,1614.0,0.036991856755907326,0.040580655619640416,0.8665172855313701,"Nóvita, San Juan, Chocó, Pacífica, Colombia","(4.84297795, -76.64453348254622, 0.0)",4.84297795,-76.64453348254622,0.0
"Nuquí, Chocó",Chocó,Nuquí,16223,876,864,3456,6295,1497.0,0.07553810766689151,-0.04139907946922827,0.9863013698630136,"Nuquí, Pacífico Norte, Chocó, Pacífica, 276058, Colombia","(5.74411085, -77.21548881518464, 0.0)",5.74411085,-77.21548881518464,0.0
"Río Iro, Chocó",Chocó,Río Iro,5467,1606,1376,4525,5844,1362.0,-0.005116517647803076,0.0007869657862742407,0.8567870485678705,"Río Iró, San Juan, Chocó, Pacífica, Colombia","(5.167328599999999, -76.47529925464973, 0.0)",5.167328599999999,-76.47529925464973,0.0
"Río Quito, Chocó",Chocó,Río Quito,8236,2661,2149,7974,6069,1283.0,0.023764199660992524,0.04047468918142827,0.8075911311537016,"Paimadó, Atrato, Chocó, Pacífica, Colombia","(5.5515206, -76.79313608679024, 0.0)",5.5515206,-76.79313608679024,0.0
"Riosucio, Chocó",Chocó,Riosucio,53449,14596,14795,48257,13831,3201.0,0.10958470540796772,0.12496941437715314,1.0136338722937792,"Riosucio, Darién, Chocó, Pacífica, Colombia","(7.3423382, -77.19324367857044, 0.0)",7.3423382,-77.19324367857044,0.0
"San José del Palmar, Chocó",Chocó,San José del Palmar,5114,2091,1536,4721,3998,1008.0,0.019117962792026155,0.032931664804000116,0.7345767575322812,"San José del Palmar, San Juan, Chocó, Pacífica, Colombia","(4.967168750000001, -76.25774907930952, 0.0)",4.967168750000001,-76.25774907930952,0.0
"Sipí, Chocó",Chocó,Sipí,3174,982,864,2768,2848,757.0,0.008371432916937982,0.010221852548066401,0.879837067209776,"Sipí, San Juan, Chocó, Pacífica, Colombia","(4.5653723500000005, -76.5220802041849, 0.0)",4.5653723500000005,-76.5220802041849,0.0
"Tadó, Chocó",Chocó,Tadó,18011,6218,5446,17000,15962,3476.0,0.00933342456999764,0.03514177600996238,0.8758443229334191,"Tadó, San Juan, Chocó, Pacífica, Colombia","(5.2672548, -76.37969295150435, 0.0)",5.2672548,-76.37969295150435,0.0
"Unguía, Chocó",Chocó,Unguía,12854,4650,3741,12192,10446,2554.0,0.01608459551778396,0.029796220289767472,0.8045161290322581,"Unguía, Darién, Chocó, Pacífica, Colombia","(8.09847945, -77.08704636423184, 0.0)",8.09847945,-77.08704636423184,0.0
"Unión Panamericana, Chocó",Chocó,Unión Panamericana,6816,2641,2041,6590,5583,1305.0,0.015468144788083782,0.03500145662242504,0.7728133282847406,"Las Ánimas, San Juan, Chocó, Pacífica, 2030, Colombia","(5.2976442, -76.63931224900588, 0.0)",5.2976442,-76.63931224900588,0.0
"Neiva, Huila",Huila,Neiva,357392,127908,101646,314526,315332,84126.0,0.00967785093406337,0.014658748107189368,0.7946805516464959,"Neiva, Norte, Huila, Región Andina, Colombia","(2.9263127, -75.2891733, 0.0)",2.9263127,-75.2891733,0.0
"Acevedo, Huila",Huila,Acevedo,24774,9215,7274,24562,26597,5872.0,-0.005446935307547807,0.016606460658507016,0.7893651654910472,"Acevedo, Sur, Huila, Región Andina, Colombia","(1.7107656, -76.00684034244915, 0.0)",1.7107656,-76.00684034244915,0.0
"Agrado, Huila",Huila,Agrado,8800,3290,2540,8593,8459,2069.0,0.0030446839837119377,0.0159019328506258,0.7720364741641338,"Agrado, Centro, Huila, Región Andina, Colombia","(2.2632959, -75.71500368269609, 0.0)",2.2632959,-75.71500368269609,0.0
"Aipe, Huila",Huila,Aipe,16163,5817,4604,14817,19928,4879.0,-0.01597874033254365,-0.004452733208843318,0.791473268007564,"Aipe, Norte, Huila, Región Andina, Colombia","(3.2386692000000004, -75.29456779227532, 0.0)",3.2386692000000004,-75.29456779227532,0.0
"Algeciras, Huila",Huila,Algeciras,22481,8028,6700,20259,23054,6032.0,-0.0019341872103493252,0.008111870189962067,0.8345789735924265,"Algeciras, Norte, Huila, Región Andina, Colombia","(2.5046806000000004, -75.30394808020054, 0.0)",2.5046806000000004,-75.30394808020054,0.0
"Altamira, Huila",Huila,Altamira,4275,1596,1374,4169,3609,1014.0,0.013112406242998809,0.023646264591214994,0.8609022556390977,"Altamira, Centro, Huila, Región Andina, Colombia","(2.0823259, -75.775479410223, 0.0)",2.0823259,-75.775479410223,0.0
"Baraya, Huila",Huila,Baraya,8338,2573,2224,6679,4354,1087.0,0.051249134472347135,0.05661260559963366,0.8643606684803731,"Baraya, Norte, Huila, Región Andina, Colombia","(3.0886341, -74.94449158027373, 0.0)",3.0886341,-74.94449158027373,0.0
"Campoalegre, Huila",Huila,Campoalegre,31087,11312,10011,30183,32101,8250.0,-0.0024659895884902028,0.01499370121624266,0.8849893917963225,"Campoalegre, Norte, Huila, Región Andina, Colombia","(2.6851032, -75.3263227, 0.0)",2.6851032,-75.3263227,0.0
"Colombia, Huila",Huila,Colombia,7285,3060,2237,7040,8648,2171.0,-0.013106478387788334,0.0023063317787768156,0.7310457516339869,"Huila, Región Andina, Colombia","(2.4738993, -75.5900113, 0.0)",2.4738993,-75.5900113,0.0
"Elías, Huila",Huila,Elías,4211,1506,1240,3736,3342,873.0,0.01793827844335394,0.027362357946639992,0.8233731739707836,"Elías, Sur, Huila, Región Andina, Colombia","(2.00295495, -75.95186258333365, 0.0)",2.00295495,-75.95186258333365,0.0
"Garzón, Huila",Huila,Garzón,72382,25270,20978,66311,70144,16363.0,0.002418872903335867,0.019295456879756978,0.8301543332014246,"Garzón, Centro, Huila, Región Andina, 414020, Colombia","(2.1960126, -75.6274845, 0.0)",2.1960126,-75.6274845,0.0
"Gigante, Huila",Huila,Gigante,24583,9463,7231,22871,28174,7326.0,-0.010433224649464612,-0.0010035211481326245,0.7641339955616612,"Gigante, Centro, Huila, Región Andina, Colombia","(2.3948453, -75.52692389190892, 0.0)",2.3948453,-75.52692389190892,0.0
"Guadalupe, Huila",Huila,Guadalupe,17890,6146,4755,15913,16067,3817.0,0.008301531146441166,0.017046110289667293,0.7736739342661894,"Guadalupe, Centro, Huila, Región Andina, Colombia","(1.9819719, -75.701369918761, 0.0)",1.9819719,-75.701369918761,0.0
