Location,Department-2018,Municipality-2018,Total 2018,Housing units 2018,Households 2018,People 2018,Total 2005,Households 2005,var_pop,var_households,household/housing ratio,location,point,latitude,longitude,altitude
"Carepa, Antioquia",Antioquia,Carepa,47932,16668,14029,45936,42294,9649.0,0.009672487326313428,0.029208622686982322,0.8416726661867051,"Carepa, Urabá, Antioquia, Región Andina, Colombia","(7.7977584, -76.74551461791256, 0.0)",7.7977584,-76.74551461791256,0.0
"El Carmen de Viboral, Antioquia",Antioquia,El Carmen de Viboral,59416,21854,16907,53949,40968,9992.0,0.029010712510277425,0.041286690775851564,0.7736341173240596,"El Carmen de Viboral, Oriente, Antioquia, Región Andina, Colombia","(5.98195145, -75.26078014254009, 0.0)",5.98195145,-75.26078014254009,0.0
"Carolina, Antioquia",Antioquia,Carolina,3954,1727,1297,3343,3929,1096.0,0.0004880255205015338,0.013037075570142553,0.7510133178922987,"Carolina, Norte, Antioquia, Región Andina, Colombia","(6.7501787, -75.32292292773512, 0.0)",6.7501787,-75.32292292773512,0.0
"Caucasia, Antioquia",Antioquia,Caucasia,90213,30599,25315,84717,85667,18802.0,0.003985293598971262,0.023143271554634692,0.8273146181247754,"Caucasia, Bajo Cauca, Antioquia, Región Andina, 052410, Colombia","(7.82747905, -75.04521491490272, 0.0)",7.82747905,-75.04521491490272,0.0
"Chigorodó, Antioquia",Antioquia,Chigorodó,57375,19561,16927,55564,59597,14262.0,-0.002918545729307387,0.01326500383066187,0.8653443075507388,"Chigorodó, Urabá, Antioquia, Región Andina, Colombia","(7.612413549999999, -76.6359403826695, 0.0)",7.612413549999999,-76.6359403826695,0.0
"Cisneros, Antioquia",Antioquia,Cisneros,9775,3950,3207,8910,9617,2714.0,0.0012543044550517024,0.012922191406399941,0.8118987341772151,"Cisneros, Nordeste, Antioquia, Región Andina, Colombia","(6.54495605, -75.08018967687796, 0.0)",6.54495605,-75.08018967687796,0.0
"Cocorná, Antioquia",Antioquia,Cocorná,15444,8536,5108,14743,14306,4164.0,0.005905178669712852,0.01584200462137053,0.598406747891284,"Cocorná, Oriente, Antioquia, Región Andina, Colombia","(6.00398715, -75.1362078336584, 0.0)",6.00398715,-75.1362078336584,0.0
"Concepción, Antioquia",Antioquia,Concepción,4797,2676,1404,3936,4410,1265.0,0.006491442757192045,0.008051717773528866,0.5246636771300448,"Concepción, Oriente, Antioquia, Región Andina, Colombia","(6.3782073, -75.22911382110586, 0.0)",6.3782073,-75.22911382110586,0.0
"Concordia, Antioquia",Antioquia,Concordia,21377,6885,5311,16095,21226,5206.0,0.0005454358004632898,0.001537206050876705,0.7713870733478576,"Concordia, Suroeste, Antioquia, Región Andina, Colombia","(6.0551626, -75.92473533467323, 0.0)",6.0551626,-75.92473533467323,0.0
"Copacabana, Antioquia",Antioquia,Copacabana,77884,27641,25114,76479,61421,16132.0,0.01843468546450633,0.03463399599613459,0.9085778372707211,"Copacabana, Valle de Aburrá, Antioquia, Región Andina, 051040, Colombia","(6.3600462, -75.49786997389143, 0.0)",6.3600462,-75.49786997389143,0.0
"Dabeiba, Antioquia",Antioquia,Dabeiba,23044,7629,6544,22717,19783,4633.0,0.01180626161684395,0.026920915399563317,0.8577795254948224,"Dabeiba, Occidente, Antioquia, Región Andina, Colombia","(6.9428173, -76.37737085731695, 0.0)",6.9428173,-76.37737085731695,0.0
"Don Matías, Antioquia",Antioquia,Don Matías,18902,6570,4719,14208,17759,4708.0,0.004809629847383645,0.00017953329465170142,0.7182648401826484,"Don Matías, Norte, Antioquia, Región Andina, Colombia","(6.502334100000001, -75.39457059470519, 0.0)",6.502334100000001,-75.39457059470519,0.0
"Ebéjico, Antioquia",Antioquia,Ebéjico,12158,5348,3828,10338,12313,3394.0,-0.0009740042330446119,0.009299381249901817,0.7157816005983545,"Ebéjico, Occidente, Antioquia, Región Andina, Colombia","(6.3219859, -75.78323174110159, 0.0)",6.3219859,-75.78323174110159,0.0
"El Bagre, Antioquia",Antioquia,El Bagre,51862,17054,13126,47642,37862,8206.0,0.02449822060966267,0.03679376295098402,0.7696728040342442,"El Bagre, Bajo Cauca, Antioquia, Región Andina, Colombia","(7.6977101, -74.6222028245339, 0.0)",7.6977101,-74.6222028245339,0.0
